(531494, 'COD FILLETS', 'Fiber, total dietary', 0.0, 'G')
(531494, 'COD FILLETS', 'Calcium, Ca', 18.0, 'MG')
(531494, 'COD FILLETS', 'Iron, Fe', 0.32, 'MG')
(531494, 'COD FILLETS', 'Sodium, Na', 53.0, 'MG')
(531494, 'COD FILLETS', 'Vitamin C, total ascorbic acid', 1.1, 'MG')
(538314, 'COD WITH VERACRUZ MARINADE', 'Fiber, total dietary', 0.0, 'G')
(538314, 'COD WITH VERACRUZ MARINADE', 'Calcium, Ca', 14.0, 'MG')
(538314, 'COD WITH VERACRUZ MARINADE', 'Iron, Fe', 0.25, 'MG')
(538314, 'COD WITH VERACRUZ MARINADE', 'Sodium, Na', 77.0, 'MG')
(538314, 'COD WITH VERACRUZ MARINADE', 'Vitamin C, total ascorbic acid', 1.7, 'MG')
(557652, 'COD FILLETS', 'Fiber, total dietary', 0.0, 'G')
(557652, 'COD FILLETS', 'Calcium, Ca', 18.0, 'MG')
(557652, 'COD FILLETS', 'Iron, Fe', 0.0, 'MG')
(557652, 'COD FILLETS', 'Sodium, Na', 159.0, 'MG')
(557652, 'COD FILLETS', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(557800, 'COD FILLETS', 'Fiber, total dietary', 0.7, 'G')
(557800, 'COD FILLETS', 'Calcium, Ca', 14.0, 'MG')
(557800, 'COD FILLETS', 'Iron, Fe', 1.02, 'MG')
(557800, 'COD FILLETS', 'Sodium, Na', 326.0, 'MG')
(557800, 'COD FILLETS', 'Vitamin C, total ascorbic acid', 0.9, 'MG')
(577918, 'COD FILLETS', 'Fiber, total dietary', 0.0, 'G')
(577918, 'COD FILLETS', 'Calcium, Ca', 0.0, 'MG')
(577918, 'COD FILLETS', 'Iron, Fe', 0.96, 'MG')
(577918, 'COD FILLETS', 'Sodium, Na', 62.0, 'MG')
(577918, 'COD FILLETS', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(580979, 'COD', 'Fiber, total dietary', 0.7, 'G')
(580979, 'COD', 'Calcium, Ca', 14.0, 'MG')
(580979, 'COD', 'Iron, Fe', 1.03, 'MG')
(580979, 'COD', 'Sodium, Na', 471.0, 'MG')
(580979, 'COD', 'Vitamin C, total ascorbic acid', 1.7, 'MG')
(601145, 'COD WITH LEMON HERB BUTTER', 'Fiber, total dietary', 0.0, 'G')
(601145, 'COD WITH LEMON HERB BUTTER', 'Calcium, Ca', 9.0, 'MG')
(601145, 'COD WITH LEMON HERB BUTTER', 'Iron, Fe', 0.88, 'MG')
(601145, 'COD WITH LEMON HERB BUTTER', 'Potassium, K', 226.0, 'MG')
(601145, 'COD WITH LEMON HERB BUTTER', 'Sodium, Na', 327.0, 'MG')
(696410, 'COD CITRUS GARLIC BUTTER WITH CAPERS, CITRUS GARLIC BUTTER WITH CAPERS', 'Fiber, total dietary', 0.0, 'G')
(696410, 'COD CITRUS GARLIC BUTTER WITH CAPERS, CITRUS GARLIC BUTTER WITH CAPERS', 'Calcium, Ca', 10.0, 'MG')
(696410, 'COD CITRUS GARLIC BUTTER WITH CAPERS, CITRUS GARLIC BUTTER WITH CAPERS', 'Iron, Fe', 0.88, 'MG')
(696410, 'COD CITRUS GARLIC BUTTER WITH CAPERS, CITRUS GARLIC BUTTER WITH CAPERS', 'Potassium, K', 225.0, 'MG')
(696410, 'COD CITRUS GARLIC BUTTER WITH CAPERS, CITRUS GARLIC BUTTER WITH CAPERS', 'Sodium, Na', 336.0, 'MG')
(706566, 'COD LIVER', 'Fiber, total dietary', 7.3, 'G')
(706566, 'COD LIVER', 'Calcium, Ca', 0.0, 'MG')
(706566, 'COD LIVER', 'Iron, Fe', 0.0, 'MG')
(706566, 'COD LIVER', 'Sodium, Na', 300.0, 'MG')
(706566, 'COD LIVER', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(766214, 'COD FILLET MSC', 'Fiber, total dietary', 0.0, 'G')
(766214, 'COD FILLET MSC', 'Calcium, Ca', 16.0, 'MG')
(766214, 'COD FILLET MSC', 'Iron, Fe', 0.38, 'MG')
(766214, 'COD FILLET MSC', 'Potassium, K', 420.0, 'MG')
(766214, 'COD FILLET MSC', 'Sodium, Na', 54.0, 'MG')
(766214, 'COD FILLET MSC', 'Vitamin C, total ascorbic acid', 1.0, 'MG')
(898656, 'COD LIVER', 'Fiber, total dietary', 7.3, 'G')
(898656, 'COD LIVER', 'Sodium, Na', 300.0, 'MG')
(928120, 'COD', 'Calcium, Ca', 19.0, 'MG')
(928120, 'COD', 'Iron, Fe', 0.38, 'MG')
(928120, 'COD', 'Potassium, K', 413.0, 'MG')
(928120, 'COD', 'Sodium, Na', 610.0, 'MG')
(1025753, 'COD LIVER', 'Fiber, total dietary', 7.3, 'G')
(1025753, 'COD LIVER', 'Calcium, Ca', 0.0, 'MG')
(1025753, 'COD LIVER', 'Iron, Fe', 0.0, 'MG')
(1025753, 'COD LIVER', 'Sodium, Na', 300.0, 'MG')
(1025753, 'COD LIVER', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(1026209, 'COD FISH STICKS CRUNCHY PANKO BREADCRUMBS, COD', 'Fiber, total dietary', 2.7, 'G')
(1026209, 'COD FISH STICKS CRUNCHY PANKO BREADCRUMBS, COD', 'Calcium, Ca', 12.0, 'MG')
(1026209, 'COD FISH STICKS CRUNCHY PANKO BREADCRUMBS, COD', 'Iron, Fe', 0.0, 'MG')
(1026209, 'COD FISH STICKS CRUNCHY PANKO BREADCRUMBS, COD', 'Potassium, K', 161.0, 'MG')
(1026209, 'COD FISH STICKS CRUNCHY PANKO BREADCRUMBS, COD', 'Sodium, Na', 455.0, 'MG')
(1130123, 'COD', 'Fiber, total dietary', 0.0, 'G')
(1130123, 'COD', 'Calcium, Ca', 19.0, 'MG')
(1130123, 'COD', 'Iron, Fe', 0.38, 'MG')
(1130123, 'COD', 'Potassium, K', 413.0, 'MG')
(1130123, 'COD', 'Sodium, Na', 610.0, 'MG')
(1144852, 'COD LIVER PATE, COD LIVER', 'Fiber, total dietary', 1.8, 'G')
(1144852, 'COD LIVER PATE, COD LIVER', 'Calcium, Ca', 0.0, 'MG')
(1144852, 'COD LIVER PATE, COD LIVER', 'Iron, Fe', 0.64, 'MG')
(1144852, 'COD LIVER PATE, COD LIVER', 'Potassium, K', 125.0, 'MG')
(1144852, 'COD LIVER PATE, COD LIVER', 'Sodium, Na', 393.0, 'MG')
(1167486, 'COD FILLET MSC', 'Fiber, total dietary', 0.0, 'G')
(1167486, 'COD FILLET MSC', 'Calcium, Ca', 16.0, 'MG')
(1167486, 'COD FILLET MSC', 'Iron, Fe', 0.38, 'MG')
(1167486, 'COD FILLET MSC', 'Potassium, K', 420.0, 'MG')
(1167486, 'COD FILLET MSC', 'Sodium, Na', 54.0, 'MG')
(1167486, 'COD FILLET MSC', 'Vitamin C, total ascorbic acid', 1.0, 'MG')
(1173690, 'CODON BLEU CHICKEN POPPERS', 'Fiber, total dietary', 1.2, 'G')
(1173690, 'CODON BLEU CHICKEN POPPERS', 'Calcium, Ca', 94.0, 'MG')
(1173690, 'CODON BLEU CHICKEN POPPERS', 'Iron, Fe', 1.69, 'MG')
(1173690, 'CODON BLEU CHICKEN POPPERS', 'Sodium, Na', 553.0, 'MG')
(1173690, 'CODON BLEU CHICKEN POPPERS', 'Vitamin C, total ascorbic acid', 1.4, 'MG')
(1191021, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Fiber, total dietary', 1.2, 'G')
(1191021, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Calcium, Ca', 4.0, 'MG')
(1191021, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Iron, Fe', 0.07, 'MG')
(1191021, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Sodium, Na', 294.0, 'MG')
(1191021, 'COD FILLET WITH VEGGIES & LEMON PEPPER', 'Vitamin C, total ascorbic acid', 1.2, 'MG')
(1211666, 'COD-FISH IN BISCAYAN SAUCE', 'Fiber, total dietary', 0.0, 'G')
(1211666, 'COD-FISH IN BISCAYAN SAUCE', 'Calcium, Ca', 36.0, 'MG')
(1211666, 'COD-FISH IN BISCAYAN SAUCE', 'Iron, Fe', 1.31, 'MG')
(1211666, 'COD-FISH IN BISCAYAN SAUCE', 'Sodium, Na', 455.0, 'MG')
(1211666, 'COD-FISH IN BISCAYAN SAUCE', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(1217078, 'COD LOINS', 'Fiber, total dietary', 0.0, 'G')
(1217078, 'COD LOINS', 'Calcium, Ca', 14.0, 'MG')
(1217078, 'COD LOINS', 'Iron, Fe', 1.03, 'MG')
(1217078, 'COD LOINS', 'Sodium, Na', 71.0, 'MG')
(1217078, 'COD LOINS', 'Vitamin C, total ascorbic acid', 0.9, 'MG')
(1255346, 'COD', 'Fiber, total dietary', 0.0, 'G')
(1255346, 'COD', 'Calcium, Ca', 0.0, 'MG')
(1255346, 'COD', 'Iron, Fe', 0.32, 'MG')
(1255346, 'COD', 'Sodium, Na', 71.0, 'MG')
(1255346, 'COD', 'Vitamin C, total ascorbic acid', 3.2, 'MG')
(1256631, 'COD LOINS', 'Fiber, total dietary', 0.0, 'G')
(1256631, 'COD LOINS', 'Calcium, Ca', 18.0, 'MG')
(1256631, 'COD LOINS', 'Iron, Fe', 0.32, 'MG')
(1256631, 'COD LOINS', 'Sodium, Na', 259.0, 'MG')
(1265295, 'COD CAKES', 'Fiber, total dietary', 2.8, 'G')
(1265295, 'COD CAKES', 'Calcium, Ca', 42.0, 'MG')
(1265295, 'COD CAKES', 'Iron, Fe', 1.01, 'MG')
(1265295, 'COD CAKES', 'Sodium, Na', 468.0, 'MG')
(1265295, 'COD CAKES', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(1269412, 'COD FILLET WITH GARLIC & HERBS, VEGGIES & WILD RICE', 'Fiber, total dietary', 0.8, 'G')
(1269412, 'COD FILLET WITH GARLIC & HERBS, VEGGIES & WILD RICE', 'Calcium, Ca', 8.0, 'MG')
(1269412, 'COD FILLET WITH GARLIC & HERBS, VEGGIES & WILD RICE', 'Iron, Fe', 0.14, 'MG')
(1269412, 'COD FILLET WITH GARLIC & HERBS, VEGGIES & WILD RICE', 'Sodium, Na', 263.0, 'MG')
(1269412, 'COD FILLET WITH GARLIC & HERBS, VEGGIES & WILD RICE', 'Vitamin C, total ascorbic acid', 0.5, 'MG')
(1285934, 'COD FILLETS', 'Fiber, total dietary', 0.0, 'G')
(1285934, 'COD FILLETS', 'Calcium, Ca', 0.0, 'MG')
(1285934, 'COD FILLETS', 'Iron, Fe', 0.0, 'MG')
(1285934, 'COD FILLETS', 'Sodium, Na', 257.0, 'MG')
(1285934, 'COD FILLETS', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(1307080, 'COD FILLETS WITH LEMON PEPPER', 'Fiber, total dietary', 0.4, 'G')
(1307080, 'COD FILLETS WITH LEMON PEPPER', 'Calcium, Ca', 9.0, 'MG')
(1307080, 'COD FILLETS WITH LEMON PEPPER', 'Iron, Fe', 0.16, 'MG')
(1307080, 'COD FILLETS WITH LEMON PEPPER', 'Sodium, Na', 310.0, 'MG')
(1307080, 'COD FILLETS WITH LEMON PEPPER', 'Vitamin C, total ascorbic acid', 2.7, 'MG')
(1307082, 'COD FILLET WITH VEGGIES & CHIPOTLE', 'Fiber, total dietary', 0.8, 'G')
(1307082, 'COD FILLET WITH VEGGIES & CHIPOTLE', 'Calcium, Ca', 4.0, 'MG')
(1307082, 'COD FILLET WITH VEGGIES & CHIPOTLE', 'Iron, Fe', 0.07, 'MG')
(1307082, 'COD FILLET WITH VEGGIES & CHIPOTLE', 'Sodium, Na', 376.0, 'MG')
(1307082, 'COD FILLET WITH VEGGIES & CHIPOTLE', 'Vitamin C, total ascorbic acid', 1.2, 'MG')
(1321469, 'COD', 'Fiber, total dietary', 0.6, 'G')
(1321469, 'COD', 'Calcium, Ca', 35.0, 'MG')
(1321469, 'COD', 'Iron, Fe', 0.85, 'MG')
(1321469, 'COD', 'Sodium, Na', 418.0, 'MG')
(1321469, 'COD', 'Vitamin C, total ascorbic acid', 3.5, 'MG')
(1327268, 'COD FILLETS', 'Fiber, total dietary', 0.0, 'G')
(1327268, 'COD FILLETS', 'Calcium, Ca', 18.0, 'MG')
